batch_id,species,volume,treenumb,canopy_top,canopy_bottom,branchper30,maxbranchradius
1158,acer_freemanii_autumnblaze,100,1,298.6,76,6,62
1158,acer_freemanii_autumnblaze,100,2,289.6,85,6,93
1158,acer_freemanii_autumnblaze,100,3,303.4,61,4,52
1158,acer_freemanii_autumnblaze,100,4,280.9,60,10,50
1158,acer_freemanii_autumnblaze,100,5,298.6,59,9,92
1158,acer_freemanii_autumnblaze,100,6,332.7,57,2,100
1158,acer_freemanii_autumnblaze,100,7,348.6,84,5,98
1158,acer_freemanii_autumnblaze,100,8,296.9,51,7,58
1158,acer_freemanii_autumnblaze,100,9,317.3,83,6,85
1158,acer_freemanii_autumnblaze,100,10,311.6,65,8,92
35025,corymbia_maculata,200,1,520.4,101,4,85
35025,corymbia_maculata,200,2,534.6,103,5,84
35025,corymbia_maculata,200,3,498.6,65,3,110
35025,corymbia_maculata,200,4,495.6,102,5,77
35025,corymbia_maculata,200,5,524.4,107,7,76
35025,corymbia_maculata,200,6,325.6,97,7,90
26453,eucalyptus_sideroxylon,25,1,215,12,18,58
26454,eucalyptus_sideroxylon,25,2,220,20,8,88
26455,eucalyptus_sideroxylon,25,3,210,16,18,86
26456,eucalyptus_sideroxylon,25,4,200,13,17,58
26457,eucalyptus_sideroxylon,25,5,220,17,14,72
26458,eucalyptus_sideroxylon,25,6,175,20,13,51
26459,eucalyptus_sideroxylon,25,7,200,10,9,74
26460,eucalyptus_sideroxylon,25,8,215,10,9,75
26461,eucalyptus_sideroxylon,25,9,220,23,14,66
26462,eucalyptus_sideroxylon,25,10,166,13,18,62
1146,lophostemon_confertus,25,1,189,9,5,48
1146,lophostemon_confertus,25,2,193,34,3,82
1146,lophostemon_confertus,25,3,130,8,6,62
1146,lophostemon_confertus,25,4,202,24,10,57
35683,angophora_costata,25,1,130,24,10,41
35683,angophora_costata,25,2,128,21,10,42
35683,angophora_costata,25,3,122,20,10,42
35683,angophora_costata,25,4,124,23,10,39
35683,angophora_costata,25,5,116,26,5,37
35683,angophora_costata,25,6,144,20,10,43
35683,angophora_costata,25,7,127,28,11,43
35683,angophora_costata,25,8,117,17,10,33
35683,angophora_costata,25,9,104,24,8,34
35683,angophora_costata,25,10,109,17,8,36
25686,corymbia_maculata,25,1,164,21,10,56
25686,corymbia_maculata,25,2,106,17,4,42
25686,corymbia_maculata,25,3,156,19,3,41
25686,corymbia_maculata,25,4,145,13,8,42
25686,corymbia_maculata,25,5,90,12,9,45
